,STATION,DATE,TIME,ENTRIES,NEW_ENTRIES
609,72 ST-2 AVE,2/12/2017,12:00:00,120421539,1913
610,72 ST-2 AVE,2/12/2017,16:00:00,120425016,3477
611,72 ST-2 AVE,2/12/2017,20:00:00,120428002,2986
612,72 ST-2 AVE,2/13/2017,0:00:00,120429382,1380
613,72 ST-2 AVE,2/13/2017,4:00:00,120429498,116
614,72 ST-2 AVE,2/13/2017,8:00:00,120431278,1780
615,72 ST-2 AVE,2/13/2017,12:00:00,120182758,4616
616,72 ST-2 AVE,2/13/2017,16:00:00,120443264,5136
617,72 ST-2 AVE,2/13/2017,20:00:00,117926927,5065
618,72 ST-2 AVE,2/14/2017,0:00:00,120455599,2443
619,72 ST-2 AVE,2/14/2017,4:00:00,120455792,193
620,72 ST-2 AVE,2/14/2017,8:00:00,120457676,1884
621,72 ST-2 AVE,2/14/2017,12:00:00,120072496,3752
622,72 ST-2 AVE,2/14/2017,16:00:00,120339296,4607
623,72 ST-2 AVE,2/14/2017,20:00:00,117941598,5663
624,72 ST-2 AVE,2/15/2017,0:00:00,120483493,2547
625,72 ST-2 AVE,2/15/2017,4:00:00,120483765,272
626,72 ST-2 AVE,2/15/2017,8:00:00,120485622,1857
627,72 ST-2 AVE,2/15/2017,12:00:00,120223261,4673
628,72 ST-2 AVE,2/15/2017,16:00:00,120363265,4741
629,72 ST-2 AVE,2/15/2017,20:00:00,117956208,5388
630,72 ST-2 AVE,2/16/2017,0:00:00,120511403,2736
631,72 ST-2 AVE,2/16/2017,4:00:00,120511591,188
632,72 ST-2 AVE,2/16/2017,8:00:00,120513438,1847
633,72 ST-2 AVE,2/16/2017,12:00:00,120105554,3831
634,72 ST-2 AVE,2/16/2017,16:00:00,120386899,4711
635,72 ST-2 AVE,2/16/2017,20:00:00,117970756,5332
636,72 ST-2 AVE,2/17/2017,0:00:00,120539401,2813
637,72 ST-2 AVE,2/17/2017,4:00:00,120539604,203
638,72 ST-2 AVE,2/17/2017,8:00:00,120541174,1570
639,72 ST-2 AVE,2/17/2017,12:00:00,120264385,4552
640,72 ST-2 AVE,2/17/2017,16:00:00,120379336,5151
641,72 ST-2 AVE,2/17/2017,20:00:00,117985460,5173
642,72 ST-2 AVE,2/18/2017,0:00:00,120566575,2874
643,72 ST-2 AVE,2/18/2017,4:00:00,120566869,294
644,72 ST-2 AVE,2/18/2017,8:00:00,120567242,373
645,72 ST-2 AVE,2/18/2017,12:00:00,120569810,2568
646,72 ST-2 AVE,2/18/2017,16:00:00,120574189,4379
647,72 ST-2 AVE,2/18/2017,20:00:00,120578482,4293
648,72 ST-2 AVE,2/19/2017,0:00:00,120580672,2190
649,72 ST-2 AVE,2/19/2017,4:00:00,120580992,320
650,72 ST-2 AVE,2/19/2017,8:00:00,120581224,232
651,72 ST-2 AVE,2/19/2017,12:00:00,120583385,2161
652,72 ST-2 AVE,2/19/2017,16:00:00,120587192,3807
653,72 ST-2 AVE,2/19/2017,20:00:00,120590458,3266
654,72 ST-2 AVE,2/20/2017,0:00:00,120591864,1406
655,72 ST-2 AVE,2/20/2017,4:00:00,120592037,173
656,72 ST-2 AVE,2/20/2017,8:00:00,120592573,536
657,72 ST-2 AVE,2/20/2017,12:00:00,120595702,3129
658,72 ST-2 AVE,2/20/2017,16:00:00,120599827,4125
659,72 ST-2 AVE,2/20/2017,20:00:00,120604601,4774
660,72 ST-2 AVE,2/21/2017,0:00:00,120606333,1732
661,72 ST-2 AVE,2/21/2017,4:00:00,120606495,162
662,72 ST-2 AVE,2/21/2017,8:00:00,120608072,1577
663,72 ST-2 AVE,2/21/2017,12:00:00,120429314,5343
664,72 ST-2 AVE,2/21/2017,16:00:00,120619769,5054
665,72 ST-2 AVE,2/21/2017,20:00:00,118092234,5792
666,72 ST-2 AVE,2/22/2017,0:00:00,120631754,2403
667,72 ST-2 AVE,2/22/2017,4:00:00,120631941,187
668,72 ST-2 AVE,2/22/2017,8:00:00,120633573,1632
669,72 ST-2 AVE,2/22/2017,12:00:00,120175864,3789
670,72 ST-2 AVE,2/22/2017,16:00:00,120645818,5235
671,72 ST-2 AVE,2/22/2017,20:00:00,118062519,5118
672,72 ST-2 AVE,2/23/2017,0:00:00,120658548,2592
673,72 ST-2 AVE,2/23/2017,4:00:00,120658772,224
674,72 ST-2 AVE,2/23/2017,8:00:00,120660399,1627
675,72 ST-2 AVE,2/23/2017,12:00:00,120351373,4448
676,72 ST-2 AVE,2/23/2017,16:00:00,120672471,5299
677,72 ST-2 AVE,2/23/2017,20:00:00,118003934,5022
678,72 ST-2 AVE,2/24/2017,0:00:00,120612721,2828
679,72 ST-2 AVE,2/24/2017,4:00:00,120612963,242
680,72 ST-2 AVE,2/24/2017,8:00:00,120614416,1453
681,72 ST-2 AVE,2/24/2017,12:00:00,120373092,4727
682,72 ST-2 AVE,2/24/2017,16:00:00,120626336,5895
683,72 ST-2 AVE,2/24/2017,20:00:00,118017326,4880
684,72 ST-2 AVE,2/25/2017,0:00:00,120638628,2889
685,72 ST-2 AVE,2/25/2017,4:00:00,120638953,325
686,72 ST-2 AVE,2/25/2017,8:00:00,120639395,442
687,72 ST-2 AVE,2/25/2017,12:00:00,120642292,2746
688,72 ST-2 AVE,2/25/2017,16:00:00,120444991,3642
689,72 ST-2 AVE,2/25/2017,20:00:00,120448603,3612
690,72 ST-2 AVE,2/26/2017,0:00:00,120653448,2088
691,72 ST-2 AVE,2/26/2017,4:00:00,120653787,339
692,72 ST-2 AVE,2/26/2017,8:00:00,120654062,275
693,72 ST-2 AVE,2/26/2017,12:00:00,120656317,2255
694,72 ST-2 AVE,2/26/2017,16:00:00,120660255,3938
695,72 ST-2 AVE,2/26/2017,20:00:00,120663512,3257
696,72 ST-2 AVE,2/27/2017,0:00:00,120664868,1356
697,72 ST-2 AVE,2/27/2017,4:00:00,120665041,173
698,72 ST-2 AVE,2/27/2017,8:00:00,120666800,1759
699,72 ST-2 AVE,2/27/2017,12:00:00,120335799,4543
700,72 ST-2 AVE,2/27/2017,16:00:00,120678868,5308
701,72 ST-2 AVE,2/27/2017,20:00:00,118046265,4805
702,72 ST-2 AVE,2/28/2017,0:00:00,120691300,2478
703,72 ST-2 AVE,2/28/2017,4:00:00,120691481,181
704,72 ST-2 AVE,2/28/2017,8:00:00,120693331,1850
705,72 ST-2 AVE,2/28/2017,12:00:00,120355545,4544
706,72 ST-2 AVE,2/28/2017,16:00:00,120493338,4714
707,72 ST-2 AVE,2/28/2017,20:00:00,118110784,5679
1417,86 ST-2 AVE,1/1/2017,0:00:00,81,48
1418,86 ST-2 AVE,1/1/2017,4:00:00,36569565,0
1419,86 ST-2 AVE,1/1/2017,8:00:00,36569565,0
1420,86 ST-2 AVE,1/1/2017,12:00:00,36569579,14
1421,86 ST-2 AVE,1/1/2017,16:00:00,36571533,2109
1422,86 ST-2 AVE,1/1/2017,20:00:00,36576967,2999
1423,86 ST-2 AVE,1/2/2017,0:00:00,36582886,1114
1424,86 ST-2 AVE,1/2/2017,4:00:00,36582893,7
1425,86 ST-2 AVE,1/2/2017,8:00:00,36583071,178
1426,86 ST-2 AVE,1/2/2017,12:00:00,36585661,2590
1427,86 ST-2 AVE,1/2/2017,16:00:00,36575757,1701
1428,86 ST-2 AVE,1/2/2017,20:00:00,36586128,2895
1429,86 ST-2 AVE,1/3/2017,0:00:00,36597119,952
1430,86 ST-2 AVE,1/3/2017,4:00:00,36597122,3
1431,86 ST-2 AVE,1/3/2017,8:00:00,36598897,1775
1432,86 ST-2 AVE,1/3/2017,12:00:00,36585611,3107
1433,86 ST-2 AVE,1/3/2017,16:00:00,36608589,3202
1434,86 ST-2 AVE,1/3/2017,20:00:00,36612931,4342
1435,86 ST-2 AVE,1/4/2017,0:00:00,36613909,978
1436,86 ST-2 AVE,1/4/2017,4:00:00,36613910,1
1437,86 ST-2 AVE,1/4/2017,8:00:00,36615815,1905
1438,86 ST-2 AVE,1/4/2017,12:00:00,36594142,3805
1439,86 ST-2 AVE,1/4/2017,16:00:00,57975,3429
1440,86 ST-2 AVE,1/4/2017,20:00:00,62611,4635
1441,86 ST-2 AVE,1/5/2017,0:00:00,63683,1072
1442,86 ST-2 AVE,1/5/2017,4:00:00,63687,4
1443,86 ST-2 AVE,1/5/2017,8:00:00,65616,1929
